DATE,AB_BEFORE,AB_NOW,AB_IDENTICAL,AB_ADDED,AB_REMOVED,AB_CH_NOFL,AB_CH_NOFC_NONDUP,AB_CH_NONEST,AB_PERC_ADD_REM,AB_PERC_CH_NOFL,AB_PERC_CH_NOFC_NONDUP,AB_PERC_CH_NONEST
1998-11-04,194,221,142,79,52,22,22,6,67,16,16,4
1998-11-22,221,276,143,133,78,10,7,0,95,13,9,0
1998-12-29,276,278,259,19,17,15,11,2,13,20,15,2
1999-02-02,278,296,264,32,14,21,19,2,16,25,23,2
1999-03-03,296,345,286,59,10,11,7,4,23,12,8,4
1999-03-26,345,349,334,15,11,8,7,5,7,12,11,7
1999-04-20,349,347,332,15,17,14,11,6,9,17,13,7
1999-05-27,347,346,310,36,37,17,12,3,21,19,13,3
1999-06-11,346,349,340,9,6,5,3,0,4,5,3,0
1999-07-04,349,354,299,55,50,5,5,1,30,6,6,1
1999-07-24,354,351,323,28,31,17,16,3,16,25,23,4
1999-08-07,351,365,343,22,8,3,3,0,8,3,3,0
1999-08-29,365,355,330,25,35,5,5,1,16,9,9,1
1999-09-24,355,375,345,30,10,7,2,4,11,13,3,7
1999-11-19,375,382,368,14,7,3,12,0,5,6,24,0
2000-01-16,382,391,361,30,21,13,12,2,13,14,13,2
2000-03-16,391,447,387,60,4,12,11,2,16,22,20,3
2000-05-11,447,455,442,13,5,17,15,2,4,23,20,2
2000-05-25,455,463,428,35,27,8,0,1,13,15,0,1
2000-06-07,463,353,319,34,144,30,21,7,38,25,17,5
2000-06-19,353,360,337,23,16,4,2,4,11,6,3,6
2000-07-17,360,352,329,23,31,19,17,5,15,26,23,6
2000-08-29,352,338,326,12,26,9,10,4,10,11,12,5
2000-09-15,338,335,332,3,6,4,1,1,2,8,2,2
2000-09-29,335,347,329,18,6,8,11,4,7,26,36,13
2000-10-20,347,353,341,12,6,3,2,1,5,6,4,2
2001-01-22,353,482,337,145,16,35,35,15,45,18,18,7
2001-05-29,482,553,480,73,2,9,10,5,15,12,14,7
2001-07-22,553,501,477,24,76,15,12,6,18,14,11,5
2001-09-25,501,511,498,13,3,15,7,6,3,25,11,10
2001-10-26,511,542,502,40,9,32,22,15,9,27,19,13
2001-12-04,542,538,528,10,14,10,6,0,4,11,7,0
2001-12-15,538,556,535,21,3,19,10,4,4,20,10,4
2001-12-25,556,552,536,16,20,12,4,1,6,16,5,1
2001-12-29,552,552,504,48,48,14,2,0,17,20,2,0
2002-01-04,552,551,515,36,37,2,1,0,13,2,1,0
2002-01-12,551,552,546,6,5,13,8,1,1,19,12,1
2002-01-25,552,552,533,19,19,3,0,0,6,4,0,0
2002-02-13,552,578,540,38,12,24,18,6,9,26,19,6
2002-03-26,578,583,566,17,12,20,17,10,5,22,19,11
2002-04-15,583,680,574,106,9,52,45,19,19,21,18,8
2002-05-15,680,708,671,37,9,15,5,5,6,12,4,4
2002-07-13,708,722,693,29,15,11,7,3,6,2,1,0
2002-08-13,722,670,658,12,64,16,12,10,10,16,12,10
2002-08-30,670,704,656,48,14,17,13,3,9,19,14,3
2002-09-21,704,723,695,28,9,26,27,9,5,21,22,7
2002-11-21,723,729,706,23,17,29,24,11,5,26,21,10
2002-12-18,729,791,709,82,20,32,29,15,13,29,26,13
2003-01-22,791,870,787,83,4,12,7,3,10,13,7,3
2003-02-07,870,917,864,53,6,19,20,8,6,14,14,5
2003-02-26,917,919,892,27,25,53,43,7,5,36,29,4
2003-03-10,919,962,916,46,3,47,29,12,5,38,23,9
2003-03-27,962,967,946,21,16,23,14,7,3,26,16,8
2003-04-05,967,933,805,128,162,33,27,14,29,36,29,15
2003-04-13,933,920,861,59,72,20,9,12,14,13,6,8
2003-04-24,920,925,889,36,31,22,8,5,7,22,8,5
2003-05-14,925,923,897,26,28,17,9,8,5,14,7,6
2003-06-03,923,923,908,15,15,16,10,2,3,15,9,1
2003-08-09,923,932,911,21,12,42,27,3,3,38,25,2
2003-09-23,932,937,916,21,16,47,39,6,3,47,39,6
2003-10-19,937,947,934,13,3,8,3,4,1,10,3,5
2003-11-26,947,952,924,28,23,17,7,6,5,25,10,8
2003-12-07,952,967,922,45,30,16,12,5,7,24,18,7
2003-12-29,967,965,937,28,30,11,11,2,5,10,10,1
2004-02-27,965,967,953,14,12,18,10,2,2,20,11,2
