DATE,FUNC_BEFORE,FUNC_NOW,FUNC_IDENTICAL,FUNC_ADDED,FUNC_REMOVED,FUNC_PERC_ADD_REM,FUNC_MEDIAN_PERC_LOC_CHG
1998-11-04,1062,1001,853,148,209,33,1.68
1998-11-22,1001,1158,762,396,239,63,0.00
1998-12-29,1158,1237,1125,112,33,12,0.78
1999-02-02,1237,1342,1153,189,84,22,0.00
1999-03-03,1342,1595,1255,340,87,31,0.00
1999-03-26,1595,1639,1564,75,31,6,1.49
1999-04-20,1639,1659,1627,32,12,2,1.50
1999-05-27,1659,1723,1539,184,120,18,3.85
1999-06-11,1723,1755,1692,63,31,5,1.75
1999-07-04,1755,1814,1578,236,177,23,0.00
1999-07-24,1814,1875,1738,137,76,11,4.29
1999-08-07,1875,1895,1831,64,44,5,0.00
1999-08-29,1895,1936,1778,158,117,14,2.04
1999-09-24,1936,2145,1872,273,64,17,1.22
1999-11-19,2145,2161,2110,51,35,4,1.08
2000-01-16,2161,2239,2111,128,50,8,3.57
2000-03-16,2239,2400,2134,266,105,16,3.08
2000-05-11,2400,2479,2382,97,18,4,0.85
2000-05-25,2479,2488,2384,104,95,8,1.59
2000-06-07,2488,2228,1966,262,522,31,7.14
2000-06-19,2228,2308,2066,242,162,18,0.00
2000-07-17,2308,2293,2188,105,120,9,0.75
2000-08-29,2293,2282,2213,69,80,6,0.00
2000-09-15,2282,2309,2276,33,6,1,1.54
2000-09-29,2309,2374,2303,71,6,3,0.35
2000-10-20,2374,2387,2359,28,15,1,2.15
2001-01-22,2387,2425,2353,72,34,4,22.97
2001-05-29,2425,2548,2413,135,12,6,3.82
2001-07-22,2548,2259,2170,89,378,18,0.00
2001-09-25,2259,2274,2235,39,24,2,1.46
2001-10-26,2274,2326,2239,87,35,5,2.17
2001-12-04,2326,2348,2283,65,43,4,1.22
2001-12-15,2348,2414,2337,77,11,3,2.30
2001-12-25,2414,2391,2268,123,146,11,1.04
2001-12-29,2391,2403,2242,161,149,12,1.56
2002-01-04,2403,2396,2254,142,149,12,0.00
2002-01-12,2396,2418,2371,47,25,3,1.24
2002-01-25,2418,2413,2324,89,94,7,0.63
2002-02-13,2413,2452,2386,66,27,3,2.34
2002-03-26,2452,2451,2427,24,25,1,2.22
2002-04-15,2451,2457,2430,27,21,1,5.72
2002-05-15,2457,2492,2432,60,25,3,1.67
2002-07-13,2492,2511,2459,52,33,3,1.19
2002-08-13,2511,2382,2357,25,154,7,0.00
2002-08-30,2382,2402,2284,118,98,9,4.69
2002-09-21,2402,2414,2384,30,18,1,2.09
2002-11-21,2414,2443,2393,50,21,2,3.20
2002-12-18,2443,2556,2370,186,73,10,2.86
2003-01-22,2556,2638,2542,96,14,4,0.40
2003-02-07,2638,2708,2626,82,12,3,0.00
2003-02-26,2708,2678,2643,35,65,3,2.38
2003-03-10,2678,2733,2644,89,34,4,2.62
2003-03-27,2733,2732,2691,41,42,3,2.94
2003-04-05,2732,2732,2478,254,254,18,6.35
2003-04-13,2732,2752,2568,184,164,12,0.49
2003-04-24,2752,2756,2693,63,59,4,0.96
2003-05-14,2756,2770,2698,72,58,4,0.00
2003-06-03,2770,2774,2742,32,28,2,0.31
2003-08-09,2774,2811,2743,68,31,3,2.97
2003-09-23,2811,2826,2785,41,26,2,4.11
2003-10-19,2826,2838,2803,35,23,2,0.66
2003-11-26,2838,2845,2783,62,55,4,2.56
2003-12-07,2845,2879,2755,124,90,7,3.70
2003-12-29,2879,2876,2771,105,108,7,0.00
2004-02-27,2876,2848,2807,41,69,3,2.68
2004-03-16,2848,2889,2827,62,21,2,1.14
2004-04-06,2889,2944,2877,67,12,2,1.45
2004-04-20,2944,2996,2926,70,18,2,0.00
2004-05-27,2996,3018,2989,29,7,1,3.05
2004-06-28,3018,3022,3014,8,4,0,2.30
2004-07-18,3022,3037,3014,23,8,1,3.58
2004-08-28,3037,3097,3021,76,16,3,3.23
2004-09-28,3097,3107,3089,18,8,0,16.94
2004-11-12,3107,3290,3034,256,73,10,0.00
2004-11-27,3290,3306,3227,79,63,4,3.62
2004-12-08,3306,3345,3202,143,104,7,2.94
2005-01-08,3345,3415,3307,108,38,4,3.92
2005-01-20,3415,3410,3380,30,35,1,3.33
2005-02-05,3410,3438,3399,39,11,1,1.90
2005-03-16,3438,3531,3390,141,48,5,2.02
2005-04-07,3531,3585,3512,73,19,2,2.63
2005-04-21,3585,3630,3558,72,27,2,5.38
2005-05-05,3630,3644,3577,67,53,3,3.13
2005-05-28,3644,3669,3624,45,20,1,1.43
2005-07-05,3669,3723,3657,66,12,2,2.94
2005-07-19,3723,3735,3699,36,24,1,0.00
2005-07-25,3735,3754,3681,73,54,3,19.05
2005-08-03,3754,3767,3739,28,15,1,0.00
2005-08-17,3767,3847,3743,104,24,3,2.80
2005-08-28,3847,3883,3817,66,30,2,1.45
2005-09-16,3883,3898,3842,56,41,2,2.18
2005-10-13,3898,3983,3872,111,26,3,5.89
2005-10-31,3983,4005,3946,59,37,2,2.77
2005-11-10,4005,4015,3988,27,17,1,1.45
2005-11-24,4015,4038,3986,52,29,2,1.32
2005-12-15,4038,4074,3994,80,44,3,2.65
2006-01-06,4074,4079,4055,24,19,1,2.38
2006-01-14,4079,4123,4038,85,41,3,2.00
2006-03-06,4123,4135,4107,28,16,1,4.35
2006-04-04,4135,4147,4117,30,18,1,2.78
2006-04-27,4147,4017,3992,25,155,4,3.28
2006-05-15,4017,4041,3996,45,21,1,1.80
2006-06-12,4041,4057,4024,33,17,1,2.80
2006-08-24,4057,4069,4045,24,12,0,3.56
2006-09-14,4069,4119,4047,72,22,2,2.33
2006-11-03,4119,4139,4085,54,34,2,0.65
2006-12-18,4139,4147,4109,38,30,1,2.68
2007-01-10,4147,4172,4079,93,68,3,2.15
2007-02-04,4172,4186,4161,25,11,0,2.12
2007-03-15,4186,4205,4176,29,10,0,2.35
2007-05-13,4205,4153,4072,81,133,5,2.01
2007-07-18,4153,4154,4135,19,18,0,0.59
2007-08-17,4154,4182,4035,147,119,6,0.00
2007-08-29,4182,4240,4130,110,52,3,1.18
2007-09-27,4240,4264,4234,30,6,0,2.34
2007-11-13,4264,4313,4254,59,10,1,3.61
2007-12-22,4313,4345,4296,49,17,1,0.70
2008-02-13,4345,4352,4334,18,11,0,1.69
2008-04-29,4352,4359,4340,19,12,0,2.33
2008-07-19,4359,4624,4355,269,4,6,1.49
2008-10-05,4624,4780,4576,204,48,5,2.56
2008-11-02,4780,4838,4767,71,13,1,0.00
2008-12-20,4838,4852,4804,48,34,1,2.01
2009-02-10,4852,4895,4840,55,12,1,1.00
2009-03-09,4895,4898,4890,8,5,0,2.12
2009-04-29,4898,4916,4894,22,4,0,2.02
2009-07-03,4916,4940,4892,48,24,1,5.44
2009-08-17,4940,4967,4927,40,13,1,3.78
2009-10-20,4967,5016,4950,66,17,1,1.71
2009-11-23,5016,5019,5006,13,10,0,0.78
2010-04-12,5019,5060,5004,56,15,1,4.67
2010-08-10,5060,4824,4757,67,303,7,2.56
2010-11-24,4824,4846,4793,53,31,1,2.34
2011-01-02,4846,4881,4831,50,15,1,2.02
2011-01-29,4881,4908,4868,40,13,1,1.50
2011-03-16,4908,4937,4895,42,13,1,1.45
2011-08-10,4937,4959,4918,41,19,1,2.00
2011-11-01,4959,5225,4958,267,1,5,4.22
2012-03-29,5225,5240,5222,18,3,0,0.84
2012-08-22,5240,5268,5205,63,35,1,1.53
2013-04-28,5268,5294,5127,167,141,5,0.81
2013-11-08,5294,5358,5274,84,20,1,3.92
2014-10-29,5358,5399,5315,84,43,2,2.11
2015-04-09,5399,5402,5389,13,10,0,1.56
